,blimp_v_sub
irregular_plural_subject_verb_agreement_2,151.0
left_branch_island_echo_question,4.0
expletive_it_object_raising,278.0
animate_subject_passive,156.0
transitive,310.0
regular_plural_subject_verb_agreement_2,134.0
irregular_plural_subject_verb_agreement_1,189.0
wh_questions_subject_gap,201.0
passive_2,236.0
wh_vs_that_with_gap,189.0
npi_present_1,118.0
determiner_noun_agreement_with_adj_irregular_1,303.0
principle_A_domain_1,15.0
principle_A_case_1,125.0
only_npi_scope,94.0
irregular_past_participle_verbs,150.0
passive_1,187.0
ellipsis_n_bar_1,68.0
wh_island,29.0
determiner_noun_agreement_irregular_1,270.0
distractor_agreement_relative_clause,210.0
principle_A_case_2,248.0
wh_vs_that_no_gap_long_distance,156.0
distractor_agreement_relational_noun,97.0
sentential_subject_island,0.0
wh_vs_that_with_gap_long_distance,88.0
wh_questions_object_gap,21.0
npi_present_2,184.0
drop_argument,189.0
determiner_noun_agreement_with_adjective_1,272.0
existential_there_subject_raising,197.0
wh_questions_subject_gap_long_distance,28.0
determiner_noun_agreement_with_adj_irregular_2,302.0
coordinate_structure_constraint_object_extraction,19.0
only_npi_licensor_present,96.0
existential_there_quantifiers_2,17.0
determiner_noun_agreement_1,251.0
regular_plural_subject_verb_agreement_1,161.0
wh_vs_that_no_gap,171.0
ellipsis_n_bar_2,110.0
principle_A_domain_2,170.0
adjunct_island,1.0
determiner_noun_agreement_with_adj_2,278.0
intransitive,174.0
principle_A_domain_3,95.0
animate_subject_trans,95.0
matrix_question_npi_licensor_present,0.0
complex_NP_island,9.0
existential_there_quantifiers_1,122.0
irregular_past_participle_adjectives,96.0
determiner_noun_agreement_irregular_2,277.0
principle_A_reconstruction,3.0
causative,164.0
existential_there_object_raising,244.0
superlative_quantifiers_1,19.0
determiner_noun_agreement_2,254.0
tough_vs_raising_1,175.0
anaphor_gender_agreement,229.0
coordinate_structure_constraint_complex_left_branch,73.0
principle_A_c_command,95.0
tough_vs_raising_2,121.0
inchoative,177.0
sentential_negation_npi_licensor_present,56.0
left_branch_island_simple_question,74.0
superlative_quantifiers_2,98.0
sentential_negation_npi_scope,11.0
anaphor_number_agreement,274.0
